,candidate1,candidate2,party1,party2,share1,share2,district
347,Jim Clyburn,Gerhard Gressmann,Democratic,Republican,70.1,28.2,SC-06
348,Tom Rice,Robert Williams,Republican,Democratic,59.6,40.3,SC-07
349,Dusty Johnson,Tim Bjorkman,Republican,Democratic,60.3,36.0,SD-00
350,Phil Roe,Marty Olsen,Republican,Democratic,77.1,21.0,TN-01
351,Tim Burchett,Renee Hoyos,Republican,Democratic,65.9,33.1,TN-02
352,Chuck Fleischmann,Danielle Mitchell,Republican,Democratic,63.7,34.5,TN-03
353,Scott DesJarlais,Mariah Phillips,Republican,Democratic,63.4,33.6,TN-04
354,Jim Cooper,Jody Ball,Democratic,Republican,67.8,32.2,TN-05
355,John Rose,Dawn Barlow,Republican,Democratic,69.5,28.3,TN-06
356,Mark Green,Justin Kanew,Republican,Democratic,66.9,32.1,TN-07
357,David Kustoff,Erika Pearson,Republican,Democratic,67.7,30.1,TN-08
358,Steve Cohen,Charlotte Bergmann,Democratic,Republican,80.0,19.2,TN-09
359,Louie Gohmert,Shirley McKellar,Republican,Democratic,72.3,26.3,TX-01
360,Michael McCaul,Mike Siegel,Republican,Democratic,51.1,46.8,TX-10
361,Mike Conaway,Jennie Lou Leeder,Republican,Democratic,80.1,18.5,TX-11
362,Kay Granger,Vanessa Adia,Republican,Democratic,64.3,33.9,TX-12
363,Mac Thornberry,Greg Sagan,Republican,Democratic,81.6,16.9,TX-13
364,Randy Weber,Adrienne Bell,Republican,Democratic,59.2,39.3,TX-14
365,Vicente González,Tim Westley,Democratic,Republican,59.7,38.7,TX-15
366,Veronica Escobar,Rick Seeberger,Democratic,Republican,68.5,27.0,TX-16
367,Bill Flores,Rick Kennedy,Republican,Democratic,56.8,41.3,TX-17
368,Sheila Jackson Lee,Ava Reynero Pate,Democratic,Republican,75.3,20.8,TX-18
369,Jodey Arrington,Miguel Levario,Republican,Democratic,75.2,24.8,TX-19
370,Dan Crenshaw,Todd Litton,Republican,Democratic,52.8,45.6,TX-02
371,Joaquín Castro,Jeffrey Blunt,Democratic,Other,80.9,19.1,TX-20
372,Chip Roy,Joseph Kopser,Republican,Democratic,50.3,47.6,TX-21
373,Pete Olson,Sri Preston Kulkarni,Republican,Democratic,51.4,46.4,TX-22
374,Will Hurd,Gina Ortiz Jones,Republican,Democratic,49.2,48.7,TX-23
375,Kenny Marchant,Jan McDowell,Republican,Democratic,50.6,47.5,TX-24
376,Roger Williams,Julie Oliver,Republican,Democratic,53.5,44.8,TX-25
377,Michael C. Burgess,Linsey Fagan,Republican,Democratic,59.4,39.0,TX-26
378,Henry Cuellar,Arthur Thomas IV,Democratic,Other,84.4,15.6,TX-28
379,Sylvia Garcia,Phillip Aronoff,Democratic,Republican,75.1,23.9,TX-29
380,Van Taylor,Lorie Burch,Republican,Democratic,54.2,44.2,TX-03
381,Eddie Bernice Johnson,Shawn Jones,Democratic,Other,91.1,8.9,TX-30
382,John Carter,MJ Hegar,Republican,Democratic,50.6,47.7,TX-31
383,Colin Allred,Pete Sessions,Democratic,Republican,52.3,45.7,TX-32
384,Marc Veasey,Willie Billups,Democratic,Republican,76.2,21.9,TX-33
385,Filemon Vela Jr.,Rey Gonzalez,Democratic,Republican,60.0,40.0,TX-34
386,Lloyd Doggett,David Smalling,Democratic,Republican,71.3,26.0,TX-35
387,Brian Babin,Dayna Steele,Republican,Democratic,72.6,27.4,TX-36
388,John Ratcliffe,Catherine Krantz,Republican,Democratic,75.7,23.0,TX-04
389,Lance Gooden,Dan Wood,Republican,Democratic,62.3,37.6,TX-05
390,Ron Wright,Jana Lynne Sanchez,Republican,Democratic,53.1,44.4,TX-06
391,Lizzie Pannill Fletcher,John Culberson,Democratic,Republican,52.5,47.5,TX-07
392,Kevin Brady,Steven David,Republican,Democratic,73.4,24.9,TX-08
393,Al Green,Phil Kurtz,Democratic,Other,89.1,3.9,TX-09
394,Rob Bishop (incumbent),Lee Castillo,Republican,Democratic,61.6,24.9,UT-01
395,Chris Stewart (incumbent),Shireen Ghorbani,Republican,Democratic,56.1,38.9,UT-02
396,John Curtis (incumbent),James Singer,Republican,Democratic,67.5,27.3,UT-03
397,Ben McAdams,Mia Love,Democratic,Republican,50.1,49.9,UT-04
398,Peter Welch,Anya Tynio,Democratic,Republican,69.2,26.0,VT-00
399,Rob Wittman,Vangie Williams,Republican,Democratic,55.2,44.7,VA-01
400,Jennifer Wexton,Barbara Comstock,Democratic,Republican,56.1,43.7,VA-10
401,Gerry Connolly,Jeff Dove,Democratic,Republican,71.1,26.9,VA-11
402,Elaine Luria,Scott Taylor,Democratic,Republican,51.1,48.8,VA-02
403,Bobby Scott,Write-ins,Democratic,Other,91.2,8.8,VA-03
404,Donald McEachin,Ryan McAdams,Democratic,Republican,62.6,35.9,VA-04
405,Denver Riggleman,Leslie Cockburn,Republican,Democratic,53.2,46.6,VA-05
406,Ben Cline,Jennifer Lewis,Republican,Democratic,59.7,40.2,VA-06
407,Abigail Spanberger,Dave Brat,Democratic,Republican,50.3,48.4,VA-07
408,Don Beyer,Thomas Oh,Democratic,Republican,76.1,23.7,VA-08
409,Morgan Griffith,Anthony Flaccavento,Republican,Democratic,65.2,34.7,VA-09
410,Suzan DelBene,Jeffrey Beeler,Democratic,Republican,59.3,40.7,WA-01
